name,category,brand,sku,store,base_size,size,unit_type,unit_value,old_price,current_price,discount,price_per_unit,date,link
bio fresh whole milk 2litres,Milk,Bio,MilkBio2l,E-Mart,2l,2.0,litres,2.0,0.0,340.0,0.0,170.0,2026-04-20,http://e-mart.co.ke/index.php?route=product/product&product_id=8987&search=milk&category_id=0
benylin chesty cough herbal sugar free syrup 100ml,Sugar,Benylin,SugarBenylin100ml,E-Mart,100ml,100.0,litres,0.1,0.0,1800.0,0.0,18000.0,2026-04-20,http://e-mart.co.ke/benylin-herbal-chesty-cough?search=sugar&category_id=0
clovers icing sugar 500g,Sugar,Clovers,SugarClovers500g,E-Mart,500g,500.0,kg,0.5,0.0,150.0,0.0,300.0,2026-04-20,http://e-mart.co.ke/clovers-icing-sugar-500g?search=sugar&category_id=0
american garden bread crumbs 285g,Bread,American,BreadAmerican285g,E-Mart,285g,285.0,kg,0.285,0.0,490.0,0.0,1719.2982456140353,2026-04-20,http://e-mart.co.ke/american-garden-bread-crumbs-285g?search=bread&category_id=0
blueband low fat spread for bread 500g,Bread,Blueband,BreadBlueband500g,E-Mart,500g,500.0,kg,0.5,0.0,215.0,0.0,430.0,2026-04-20,http://e-mart.co.ke/Blueband-Low-Fat-Spread-For-Bread-500g?search=bread&category_id=0
broadways sliced brown bread 600g,Bread,Broadways,BreadBroadways600g,E-Mart,600g,600.0,kg,0.6,0.0,100.0,0.0,166.66666666666669,2026-04-20,http://e-mart.co.ke/Broadways-Sliced-Brown-Bread-600g?search=bread&category_id=0
224 pishori rice 2kg,Rice,224,Rice2242kg,E-Mart,2kg,2.0,kg,2.0,0.0,580.0,0.0,290.0,2026-04-20,http://e-mart.co.ke/224-aromantic-rice-5kg?search=rice&category_id=0
224 pishori rice 5kg,Rice,224,Rice2245kg,E-Mart,5kg,5.0,kg,5.0,0.0,1500.0,0.0,300.0,2026-04-20,http://e-mart.co.ke/ buy-rice-online?search=rice&category_id=0
avena vegetable cooking oil 20litres,Cooking Oil,Avena,Cooking OilAvena20l,E-Mart,20l,20.0,litres,20.0,0.0,5650.0,0.0,282.5,2026-04-20,http://e-mart.co.ke/avena-vegetable-cooking-oil-20litres?search=cooking%20oil&category_id=0
avena vegetable cooking oil 5litres,Cooking Oil,Avena,Cooking OilAvena5l,E-Mart,5l,5.0,litres,5.0,0.0,1625.0,0.0,325.0,2026-04-20,http://e-mart.co.ke/avena-vegetable-cooking-oil-5litres	?search=cooking%20oil&category_id=0
